sku_id,lead_time_days,demand_variability,safety_stock,stockout
997,28,0.155,180.94,0
998,54,0.461,466.98,1
999,8,0.293,459.44,1
1000,43,0.426,146.59,0
1001,11,0.223,328.53,1
1002,8,0.297,105.41,0
1003,58,0.448,455.41,1
1004,10,0.376,393.22,1
1005,49,0.352,57.76,0
1006,6,0.266,423.77,1
1007,56,0.212,262.28,1
1008,30,0.194,376.96,1
1009,57,0.12,73.38,0
1010,47,0.09,275.08,1
1011,40,0.026,221.48,0
1012,49,0.418,91.83,0
1013,52,0.384,155.93,0
1014,28,0.003,253.6,0
1015,23,0.383,396.74,1
1016,58,0.481,114.48,0
1017,13,0.142,426.61,1
1018,4,0.352,266.0,0
1019,48,0.345,484.01,1
1020,35,0.475,282.57,1
1021,16,0.47,174.12,0
1022,58,0.021,335.54,1
1023,19,0.44,334.98,1
1024,34,0.055,455.08,1
1025,10,0.377,160.03,0
1026,50,0.338,125.91,0
1027,13,0.124,343.42,1
1028,25,0.383,129.99,0
1029,44,0.135,246.22,0
1030,49,0.429,485.69,1
1031,59,0.197,393.13,1
1032,7,0.095,407.32,1
1033,50,0.325,53.61,0
1034,33,0.425,226.99,0
1035,44,0.439,279.4,1
1036,18,0.15,226.44,0
1037,25,0.006,285.04,1
1038,45,0.26,91.07,0
1039,26,0.208,458.45,1
1040,20,0.099,245.37,0
1041,10,0.006,357.51,1
1042,34,0.096,234.17,0
1043,14,0.203,459.65,1
1044,15,0.369,32.33,0
1045,44,0.348,141.0,0
1046,17,0.203,265.31,0
1047,21,0.223,185.5,0
1048,34,0.459,73.29,0
1049,46,0.373,70.87,0
1050,8,0.254,200.49,0
1051,29,0.434,230.77,0
1052,11,0.079,11.35,0
1053,22,0.029,173.6,0
1054,4,0.441,30.17,0
1055,52,0.079,260.16,1
1056,3,0.317,390.55,1
1057,47,0.148,209.01,0
1058,22,0.282,458.16,1
1059,46,0.348,474.45,1
1060,38,0.064,265.58,0
1061,3,0.257,95.35,0
1062,16,0.376,121.81,0
1063,11,0.238,130.81,0
1064,27,0.355,57.51,0
1065,45,0.393,18.15,0
1066,12,0.068,301.13,1
1067,43,0.283,149.44,0
1068,54,0.413,287.91,1
1069,42,0.218,204.81,0
1070,10,0.053,55.52,0
1071,37,0.121,30.54,0
1072,27,0.324,374.44,1
1073,21,0.051,247.71,0
1074,20,0.224,485.27,1
1075,35,0.396,287.26,1
1076,10,0.312,190.61,0
1077,41,0.282,404.57,1
1078,22,0.109,426.96,1
1079,20,0.252,478.34,1
1080,35,0.068,231.04,0
1081,57,0.384,376.64,1
1082,35,0.125,276.0,1
1083,11,0.168,420.03,1
1084,4,0.372,445.33,1
1085,58,0.095,223.5,0
1086,57,0.322,227.28,0
1087,14,0.371,124.55,0
1088,1,0.165,404.19,1
1089,15,0.051,377.83,1
1090,4,0.387,327.82,1
1091,26,0.136,299.1,1
1092,16,0.314,216.71,0
1093,17,0.422,390.29,1
1094,55,0.092,202.55,0
1095,36,0.36,66.27,0
1096,39,0.152,436.19,1
1097,45,0.191,208.11,0
1098,38,0.018,440.49,1
1099,50,0.283,330.01,1
1100,44,0.068,280.21,1
1101,43,0.259,162.8,0
1102,39,0.14,242.05,0
1103,8,0.322,16.61,0
1104,38,0.07,25.6,0
1105,49,0.012,198.37,0
1106,1,0.101,462.96,1
1107,18,0.341,364.13,1
1108,13,0.011,432.89,1
1109,19,0.3,214.11,0
1110,20,0.231,43.85,0
1111,57,0.308,463.69,1
1112,45,0.125,337.18,1
1113,50,0.122,480.61,1
1114,16,0.302,172.95,0
1115,25,0.272,22.1,0
1116,13,0.09,444.91,1
1117,44,0.228,249.25,0
1118,37,0.08,462.55,1
1119,41,0.286,384.07,1
1120,39,0.167,416.78,1
1121,16,0.384,20.64,0
1122,12,0.393,313.49,1
1123,3,0.422,397.02,1
1124,57,0.405,104.4,0
1125,29,0.36,19.73,0
1126,13,0.398,99.21,0
1127,27,0.366,252.09,0
1128,1,0.447,103.97,0
1129,9,0.424,24.64,0
1130,11,0.227,444.89,1
1131,1,0.35,405.27,1
1132,57,0.068,180.88,0
1133,27,0.038,173.41,0
1134,46,0.218,195.84,0
1135,37,0.092,64.09,0
1136,54,0.398,293.99,1
1137,39,0.264,452.1,1
1138,17,0.152,456.62,1
1139,48,0.418,210.57,0
1140,24,0.49,202.74,0
1141,28,0.025,398.07,1
1142,18,0.019,110.6,0
1143,43,0.446,440.65,1
1144,9,0.421,62.71,0
1145,36,0.214,66.21,0
1146,50,0.275,358.26,1
1147,26,0.112,63.8,0
1148,56,0.42,418.9,1
1149,38,0.321,251.6,0
1150,30,0.113,358.93,1
1151,9,0.025,361.01,1
1152,57,0.444,344.5,1
1153,58,0.116,412.19,1
1154,3,0.295,108.03,0
1155,25,0.473,85.12,0
1156,52,0.488,54.67,0
1157,48,0.195,149.98,0
1158,35,0.386,79.21,0
1159,31,0.123,216.75,0
1160,51,0.002,482.31,1
1161,32,0.462,38.98,0
1162,53,0.291,345.02,1
1163,4,0.144,318.33,1
1164,15,0.138,188.19,0
1165,57,0.181,483.97,1
1166,28,0.068,368.14,1
1167,27,0.044,30.61,0
1168,42,0.495,489.36,1
1169,32,0.373,68.81,0
1170,23,0.3,397.86,1
1171,57,0.159,373.74,1
1172,7,0.015,135.6,0
1173,16,0.186,53.99,0
1174,38,0.082,167.41,0
1175,41,0.276,40.17,0
1176,19,0.411,78.04,0
1177,5,0.429,399.57,1
1178,31,0.036,392.92,1
1179,31,0.085,46.7,0
1180,58,0.377,215.72,0
1181,49,0.198,166.13,0
1182,16,0.202,182.09,0
1183,23,0.065,281.29,0
1184,50,0.216,378.77,1
1185,22,0.026,461.88,1
1186,27,0.102,85.56,0
1187,8,0.067,338.35,1
1188,49,0.48,292.8,1
1189,11,0.469,238.64,0
1190,7,0.001,26.83,0
1191,14,0.338,393.0,1
1192,22,0.453,272.31,0
1193,36,0.005,389.17,1
1194,26,0.366,110.62,0
1195,51,0.055,322.87,1
1196,45,0.379,420.65,1
1197,23,0.161,415.18,1
1198,6,0.329,270.19,0
1199,55,0.317,71.26,0
1200,32,0.316,176.26,0
